3144
(0.000000, 1.177892, 2.120325) (0.000000, 0.273700, -0.961800) (1.000000, 1.000000) 
(0.103787, 1.009622, 2.178137) (0.182700, -0.351300, -0.918300) (0.968750, 0.928571) 
(0.000000, 1.009622, 2.167915) (0.000000, -0.351300, -0.936200) (1.000000, 0.928571) 
(0.113072, 1.177892, 2.131461) (0.187600, 0.273700, -0.943300) (0.968750, 1.000000) 
(0.203586, 1.009622, 2.208411) (0.358300, -0.351300, -0.865000) (0.937500, 0.928571) 
(0.103787, 1.009622, 2.178137) (0.182700, -0.351300, -0.918300) (0.968750, 0.928571) 
(0.221798, 1.177892, 2.164443) (0.368100, 0.273700, -0.888600) (0.937500, 1.000000) 
(0.295562, 1.009622, 2.257573) (0.520200, -0.351300, -0.778500) (0.906250, 0.928571) 
(0.203586, 1.009622, 2.208411) (0.358300, -0.351300, -0.865000) (0.937500, 0.928571) 
(0.322001, 1.177892, 2.218003) (0.534300, 0.273700, -0.799700) (0.906250, 1.000000) 
(0.376179, 1.009622, 2.323733) (0.662000, -0.351300, -0.662000) (0.875000, 0.928571) 
(0.295562, 1.009622, 2.257573) (0.520200, -0.351300, -0.778500) (0.906250, 0.928571) 
(0.409830, 1.177892, 2.290082) (0.680100, 0.273700, -0.680100) (0.875000, 1.000000) 
(0.442339, 1.009622, 2.404350) (0.778500, -0.351300, -0.520200) (0.843750, 0.928571) 
(0.376179, 1.009622, 2.323733) (0.662000, -0.351300, -0.662000) (0.875000, 0.928571) 
(0.481909, 1.177892, 2.377911) (0.799700, 0.273700, -0.534300) (0.843750, 1.000000) 
(0.491501, 1.009622, 2.496325) (0.865000, -0.351300, -0.358300) (0.812500, 0.928571) 
(0.442339, 1.009622, 2.404350) (0.778500, -0.351300, -0.520200) (0.843750, 0.928571) 
(0.535469, 1.177892, 2.478113) (0.888600, 0.273700, -0.368100) (0.812500, 1.000000) 
(0.521775, 1.009622, 2.596124) (0.918300, -0.351300, -0.182700) (0.781250, 0.928571) 
(0.491501, 1.009622, 2.496325) (0.865000, -0.351300, -0.358300) (0.812500, 0.928571) 
(0.521775, 1.009622, 2.596124) (0.918300, -0.351300, -0.182700) (0.781250, 0.928571) 
(0.579587, 1.177892, 2.699912) (0.961800, 0.273700, 0.000000) (0.750000, 1.000000) 
(0.531997, 1.009622, 2.699912) (0.936200, -0.351300, 0.000000) (0.750000, 0.928571) 
(0.579587, 1.177892, 2.699912) (0.961800, 0.273700, 0.000000) (0.750000, 1.000000) 
(0.521775, 1.009622, 2.803699) (0.918300, -0.351300, 0.182700) (0.718750, 0.928571) 
(0.531997, 1.009622, 2.699912) (0.936200, -0.351300, 0.000000) (0.750000, 0.928571) 
(0.521775, 1.009622, 2.803699) (0.918300, -0.351300, 0.182700) (0.718750, 0.928571) 
(0.535469, 1.177892, 2.921710) (0.888600, 0.273700, 0.368100) (0.687500, 1.000000) 
(0.491501, 1.009622, 2.903498) (0.865000, -0.351300, 0.358300) (0.687500, 0.928571) 
(0.491501, 1.009622, 2.903498) (0.865000, -0.351300, 0.358300) (0.687500, 0.928571) 
